,IDrts,IDR,Username,Date,Retweet,Hashtags,RT,SA,Float
0,1092822870701436928,1092834768322887680,bramastakoe,2019-02-05 17:18:07,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1043548197828800512,1092834745782661121,kang_jidek,2019-02-05 17:18:01,RT Siapa Calon Presiden Pilihan Anda No Like No Retweet AdilMakmur IndonesiaMaju,AdilMakmur IndonesiaMaju 2019GantiPresiden ,177,Positif,0.9070214629173279
0,1092074616271429634,1092834639838756864,boeby_brown,2019-02-05 17:17:36,RT Menurut sobat twips paslon mana yang didukung oleh KH Maimoen Zubair Setelah vote tolong di Retweet yah biar seru,,472,Positif,0.860170841217041
0,1092822870701436928,1092834351572643841,michsan92052772,2019-02-05 17:16:27,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092576804798291970,1092833973288394752,RutkafAzouk,2019-02-05 17:14:57,RT ALAMPUN SDH TAK BERSAHABAT Angin puting beliung mnrjng acara Istighosah Kubro u Pemenangan Jokowi Ma ruf Amin di Gdng Is,,14,Positif,0.7094528079032898
0,1092821981307625472,1092833897073668096,CanafAbiRaz,2019-02-05 17:14:39,RT Ta kira yng laporin rocky gerung inteleknya mantap eehh orng ini pingin nebeng tenar ternya,,3,Negatif,0.10472898930311203
0,1090262434357534720,1092833563425140736,ronnysyah_,2019-02-05 17:13:20,RT Si tukang lapor haha mau jadiin target slow aja prof dia cebong AhmadDhaniKorbanRezim,AhmadDhaniKorbanRezim ,20,Negatif,0.3260617256164551
0,1092822870701436928,1092833355098349568,handhi99,2019-02-05 17:12:30,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092780478376009730,1092833117864251393,MaskuMasku1,2019-02-05 17:11:33,RT Kalo untuk kubu mereka dan simpatisannya apa sih yg ngga boleh bang Mau tdk sesuai kode etik tdk sesuai atu,,8,Positif,0.9172185063362122
0,1090302140944244736,1092833114932428800,ronnysyah_,2019-02-05 17:11:33,RT Pak di acara episode ILCUstadzBaasyir live dari Surabaya Selasa Januari NoRockyNoParty NoR,ILCUstadzBaasyir NoRockyNoParty ,9,Negatif,0.0014363436494022608
0,1092391557422956545,1092832785616662528,aniek_rizka,2019-02-05 17:10:14,RT Apakah Propaganda Rusia termasuk HOAX Setelah vote tolong di Retweet yah biar seru,2019JokowiMarufAmin ,313,Positif,0.9577326774597168
0,1092821981307625472,1092832700908462082,zarazettirazr,2019-02-05 17:09:54,RT Ta kira yng laporin rocky gerung inteleknya mantap eehh orng ini pingin nebeng tenar ternya,,3,Negatif,0.10472898930311203
0,1092826928938070016,1092832674933133313,MaskuMasku1,2019-02-05 17:09:48,RT ILCYangTerjeratUUITE malam ini keren Panggungnya milik Closingnya juga keren makin ja,ILCYangTerjeratUUITE 2019GantiPresiden ,2,Netral,0.5218281745910645
0,1092391557422956545,1092832557085818880,AhmadYohan5,2019-02-05 17:09:20,RT Apakah Propaganda Rusia termasuk HOAX Setelah vote tolong di Retweet yah biar seru,2019JokowiMarufAmin ,313,Positif,0.9577326774597168
0,1092829461332946945,1092832430032019456,widyaRRTe,2019-02-05 17:08:49,RT Sekarang anda yg berkuasa dan kami yg dikuasai Besok kami beerkuasa Tgl April itu tdk lama lagi ILCYangTerjeratUUI,,2,Positif,0.9865925908088684
0,1092733993869398016,1092832041228324866,WowerNet,2019-02-05 17:07:17,RT Yang Penting Bagi Kami Ingin Terjadinya Perubahan Rezim Yang Lebih Baik Dari Yang Saat,,6,Positif,0.984587550163269
0,1092831897762160640,1092832030721626112,bengkeldodo,2019-02-05 17:07:14,RT Jika ingin seperti kata pak Harto maka pilih PrabowoSandiUntukIndonesia,PrabowoSandiUntukIndonesia 2019GantiPresiden ,2,Negatif,0.04026760160923004
0,1092822870701436928,1092831611320655872,AzpGr,2019-02-05 17:05:34,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092677602563678208,1092831467187519488,swindriyati,2019-02-05 17:05:00,RT Sama Pak Mul Sabar juga ada batasnya,2019GantiPresiden ,0,Negatif,0.005572939291596413
0,1071237081072947200,1092831383657955328,maghrizalaris,2019-02-05 17:04:40,RT Tikus geladak kalau kapalnya mau tenggelam dia akan melompat ke laut karena dia tau dimana keretakan itu karena dia yang,,1441,Positif,0.9634392857551575
0,1092104344978186241,1092830774103949312,Cinoque2,2019-02-05 17:02:15,RT Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan,,873,Positif,0.8679341673851013
0,1092659499586924545,1092830528506449920,eki_anna,2019-02-05 17:01:16,RT Bupatinya dukung Jokowi Ach hanya segelintir pejabat TAPI rakyatnya dukung Prabowo Sandi dengan kesadaran yg ikhlas G,,4,Positif,0.9015527963638306
0,1075081806355951618,1092830406938787840,maghrizalaris,2019-02-05 17:00:47,RT Debat Seru vs Karena otak Ngabalin tdk cukup kuat untuk menahan serangan oposisi maka otaknya dite,,3807,Positif,0.9456914067268372
0,1089914179639599106,1092830383798775809,Aling67817417,2019-02-05 17:00:41,RT Yusril Jokowi Ma ruf Paling Bermanfaat Bagi Umat Islam Coba kita buktikan dengan polling disini Paslon mana yang Paling,,5431,Positif,0.9896082282066345
0,1092677782125989888,1092830325334454273,Son_in_pribumi,2019-02-05 17:00:28,RT Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,95,Negatif,0.029301824048161507
0,1092564163652550656,1092830230304022528,inaalyana2,2019-02-05 17:00:05,RT Kode Keras dari Habib Bahar Smith Salam Akal Sehat,2019GantiPresiden 2019PrabowoPresidenRI ,162,Negatif,0.23900867998600006
0,1077500726765486081,1092830204941164545,maghrizalaris,2019-02-05 16:59:59,RT Njirr nancep bet pak Kedunguan ini biarlah cepat berakhir saya mengenal teman ini pak,,2746,Negatif,0.0009869819041341543
0,1092822565486129152,1092830151644069888,soeryaa70,2019-02-05 16:59:46,RT Ya pastinya cara cara yg halal karna akan membawa keberkahan dari Allah SWT bukan seperti koalisi jokoruf yg me,,3,Positif,0.9877784848213196
0,1092104344978186241,1092829961289838592,amriach24,2019-02-05 16:59:01,RT Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan,,873,Positif,0.8679341673851013
0,1092446541363769344,1092829633173610496,fadhly02pas,2019-02-05 16:57:42,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1092677782125989888,1092828842484367361,ZimanManzi,2019-02-05 16:54:34,RT Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,95,Negatif,0.029301824048161507
0,1092677782125989888,1092828730383192064,Naruzaky,2019-02-05 16:54:07,RT Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,95,Negatif,0.029301824048161507
0,1082936304172621824,1092828730102243329,maghrizalaris,2019-02-05 16:54:07,RT Kurangi selfie perbanyak konsep Saya ingin tim ini sukses dengan memperbanyak ide ide konsepsional,,462,Netral,0.6166397333145142
0,1092822870701436928,1092828630252544000,jamarytarigan,2019-02-05 16:53:43,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092677782125989888,1092828585390305280,Nidusmas5,2019-02-05 16:53:33,RT Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,95,Negatif,0.029301824048161507
0,1092677782125989888,1092828540062490624,AdiNurmen,2019-02-05 16:53:22,RT Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,95,Negatif,0.029301824048161507
0,1092104344978186241,1092828384856395777,akidokter,2019-02-05 16:52:45,RT Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan,,873,Positif,0.8679341673851013
0,1092556384959254528,1092827861797355520,henrychartas,2019-02-05 16:50:40,RT Daripada pusing berdebat apa engga mending hahahaha,2019GantiPresiden 2019GantiPangkat 2019UdahKerja ,0,Positif,0.7419028878211975
0,1030793374360432640,1092827772081233921,Muharmansyah_Mr,2019-02-05 16:50:19,RT Jgn ada yg bilang gw salah pencet ye ini sengaja banget kok,2019PrabowoSandi 2019GantiPresiden ,977,Negatif,0.031416598707437515
0,1037181164631588865,1092827754972745728,Wonganyar71,2019-02-05 16:50:15,RT Ansor tdk mengkehendaki adanya kalimat TAUHID diRepublik ini yg seolah olah Merongrong NKRI Siapapun orangnya akan diLa,,755,Netral,0.4730936586856842
0,1092733993869398016,1092827571652182016,ArdaIrawadi,2019-02-05 16:49:31,RT Yang Penting Bagi Kami Ingin Terjadinya Perubahan Rezim Yang Lebih Baik Dari Yang Saat,,6,Positif,0.984587550163269
0,1092822870701436928,1092827571010494465,abyalif74_noni,2019-02-05 16:49:31,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092824789427712000,1092827568854593536,EA_Cons,2019-02-05 16:49:30,RT Saya yakin meme video yang ingin jebak rocky untuk masuk ke ranah islam sehingga terjebak bakal rilis besok Hahaha,,1,Positif,0.9881293773651123
0,1092826928938070016,1092827491629056000,eef_heryanto,2019-02-05 16:49:12,RT ILCYangTerjeratUUITE malam ini keren Panggungnya milik Closingnya juga keren makin ja,ILCYangTerjeratUUITE 2019GantiPresiden ,2,Netral,0.5218281745910645
0,1092763775621427200,1092827422976663552,rizal_shmm62,2019-02-05 16:48:56,RT Teddy teddy ngemeng doank lu bacot lu aja yg gede Ga pada pinter lu yaak kan sekaran,,2,Positif,0.9311127662658691
0,1092822565486129152,1092827305850822656,edidoank79,2019-02-05 16:48:28,RT Ya pastinya cara cara yg halal karna akan membawa keberkahan dari Allah SWT bukan seperti koalisi jokoruf yg me,,3,Positif,0.9877784848213196
0,1092446541363769344,1092827123348209664,Ditha47098687,2019-02-05 16:47:44,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1092446541363769344,1092826873078284288,imonk_deep,2019-02-05 16:46:44,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1092446541363769344,1092826811073933312,IsnanZulfida,2019-02-05 16:46:30,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1028143429333614592,1092826494450061312,Deden77927519,2019-02-05 16:45:14,RT Mendukung PAS dalam suka maupun duka Bismillaahirtoohmaanirrohiim Saya optimistic PAS menang karena ada DEWA GAHAR,,341,Negatif,0.005858502816408873
0,1092677782125989888,1092826211867377665,pointer_ID,2019-02-05 16:44:07,RT Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,95,Negatif,0.029301824048161507
0,1092733993869398016,1092825748023332864,puyeng_banget,2019-02-05 16:42:16,RT Yang Penting Bagi Kami Ingin Terjadinya Perubahan Rezim Yang Lebih Baik Dari Yang Saat,,6,Positif,0.984587550163269
0,1092822565486129152,1092825678179749889,Mosyari2,2019-02-05 16:42:00,RT Ya pastinya cara cara yg halal karna akan membawa keberkahan dari Allah SWT bukan seperti koalisi jokoruf yg me,,3,Positif,0.9877784848213196
0,1092824427601965057,1092825494850961409,Mosyari2,2019-02-05 16:41:16,RT Kena hantam sama RG telah banget DIPERMALUKAN yang ga ada isinya jangan diundang,,3,Positif,0.9023820161819458
0,1092446541363769344,1092825297714438145,AntoSunarto5,2019-02-05 16:40:29,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1092733993869398016,1092825292865921024,romi_warsito,2019-02-05 16:40:28,RT Yang Penting Bagi Kami Ingin Terjadinya Perubahan Rezim Yang Lebih Baik Dari Yang Saat,,6,Positif,0.984587550163269
0,1092446541363769344,1092825253804306432,dompu_suherman,2019-02-05 16:40:18,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1092802459196669957,1092824829948903424,Mbahmirtohsyon1,2019-02-05 16:38:37,RT Pangkalanbun sama dengan Sampit yg mayoritas masyarakatnya ingin,2019GantiPresiden ,1,Positif,0.9893617033958435
0,1092824427601965057,1092824666106880001,andamusasma,2019-02-05 16:37:58,RT Kena hantam sama RG telah banget DIPERMALUKAN yang ga ada isinya jangan diundang,,3,Positif,0.9023820161819458
0,1092391557422956545,1092824450137915392,Iphoel26617743,2019-02-05 16:37:07,RT Apakah Propaganda Rusia termasuk HOAX Setelah vote tolong di Retweet yah biar seru,2019JokowiMarufAmin ,313,Positif,0.9577326774597168
0,1092822870701436928,1092824291760996353,unclesomeshe,2019-02-05 16:36:29,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092822870701436928,1092823590594998274,sonyAREKSby,2019-02-05 16:33:42,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092391557422956545,1092823587537342464,andres_aditya,2019-02-05 16:33:41,RT Apakah Propaganda Rusia termasuk HOAX Setelah vote tolong di Retweet yah biar seru,2019JokowiMarufAmin ,313,Positif,0.9577326774597168
0,1092812923238375425,1092823353235099648,ElanGusma,2019-02-05 16:32:45,RT,,2,Positif,0.7787083983421326
0,1066533902552985600,1092823191825707008,omar_latief,2019-02-05 16:32:07,RT THREAD Khusus beberapa Video Jo Owi Dilarang Tertawa RT saja,2019GantiPresiden ,927,Netral,0.49349141120910645
0,1092697391554211840,1092823012133396480,zainalarifin_z,2019-02-05 16:31:24,RT Kami tetap ingin ganti presiden semua itu hoax,2019gantipresiden ,1,Positif,0.9894160628318787
0,1092733993869398016,1092821953725882368,AlfariRudi,2019-02-05 16:27:12,RT Yang Penting Bagi Kami Ingin Terjadinya Perubahan Rezim Yang Lebih Baik Dari Yang Saat,,6,Positif,0.984587550163269
0,1092816964077051906,1092821502653657088,hadi262,2019-02-05 16:25:24,RT Anak yg spectacular Ini baru generasi hebat Tau mana yg harus di ganti PR,2019GantiPresiden 2019PrabowoPresidenRI ,1,Netral,0.5613681674003601
0,1092446541363769344,1092821462715490304,Mukidi92,2019-02-05 16:25:15,RT Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menep,,265,Negatif,0.25189176201820374
0,1060086520370016256,1092821117176143872,abdulrtah,2019-02-05 16:23:52,RT Diantara gambar dibawah mana yang benar cara mengendarai motor Pak Jokowi Like Pak Anies Retweet,,1213,Negatif,0.0017491149483248591
0,1092391557422956545,1092820887496052737,Rudihartonos,2019-02-05 16:22:57,RT Apakah Propaganda Rusia termasuk HOAX Setelah vote tolong di Retweet yah biar seru,2019JokowiMarufAmin ,313,Positif,0.9577326774597168
0,1092802294842839048,1092820604493848576,edidoank79,2019-02-05 16:21:50,RT itu suatu teguran bahwa kita jangan memilih orang yg berada dalam kesesatan,2019GantiPresiden ,2,Positif,0.9926619529724121
