,ID,Username,Date,Retweet,Tweet,Hashtags,RT,SA,Float
0,1092721624866902016,Iafadh,2019-02-05 09:48:31,Sudahkah anda mengikuti kuis hari ini jika blm klik tautan ini,,2019GantiPresiden ,1,Netral,0.5063467025756836
0,1092721378950668288,khibar_p,2019-02-05 09:47:33,,Enak ya dapat proyek Warisan dari Rezim Sebelumnya amp tinggal gunting pita PrabowoIndonesiaMenang PrabowoSandiSolusiNKRI IndonesiaAdilMakmur PrabowoSandiIndonesiaJaya,2019GantiPresiden 2019TetapAntiPKI 2019TakutDiganti 2019PrabowoPresidenRI PrabowoIndonesiaMenang PrabowoSandiSolusiNKRI IndonesiaAdilMakmur PrabowoSandiIndonesiaJaya ,0,Negatif,0.09550132602453232
0,1092721231122460674,anca_sagala,2019-02-05 09:46:57,,durame batak,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092721125627293696,muhamma47073391,2019-02-05 09:46:32,,kehancuran sudah makin nampak pak makanya,,0,Netral,0.4765041768550873
0,1092721115728769024,suaraRakyt,2019-02-05 09:46:30,,,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092721027979694080,angelsmanagemen,2019-02-05 09:46:09,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092720804977029120,alfi_rcm77,2019-02-05 09:45:16,Menurut sobat twips paslon mana yang didukung oleh KH Maimoen Zubair Setelah vote tolong di Retweet yah biar seru JokowiLagi RomiMakelarDoa,,,444,Positif,0.860170841217041
0,1092720789965524993,sutari111,2019-02-05 09:45:12,,omongan seorang seluruh pendukung ribut mengklarifikasi Emang enak hahahaa,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092720686756356096,umat212,2019-02-05 09:44:48,Menurut sobat twips paslon mana yang didukung oleh KH Maimoen Zubair Setelah vote tolong di Retweet yah biar seru JokowiLagi RomiMakelarDoa,,,444,Positif,0.860170841217041
0,1092720657266204672,khibar_p,2019-02-05 09:44:41,,PrabowoIndonesiaMenang PrabowoSandiSolusiNKRI IndonesiaAdilMakmur PrabowoSandiIndonesiaJaya,2019GantiPresiden 2019TetapAntiPKI 2019TakutDiganti 2019PrabowoPresidenRI PrabowoIndonesiaMenang PrabowoSandiSolusiNKRI IndonesiaAdilMakmur PrabowoSandiIndonesiaJaya ,0,Positif,0.7787083983421326
0,1092720572629319680,anggiking,2019-02-05 09:44:20,Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan sombong jangan angkuh Hey junjunganmu itu bukan Tuhan,,,808,Positif,0.8679341673851013
0,1092720567508070400,okewaee,2019-02-05 09:44:19,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,,2019GantiPresiden ,4,Negatif,0.029301824048161507
0,1092720550806380545,Mbah_Buyung,2019-02-05 09:44:15,,ketawain sj sambil makan sup ayam PrabowoSandiUntukIndonesia PrabowoSandiIndonesiaJaya,2019GantiPresiden PrabowoSandiUntukIndonesia PrabowoSandiIndonesiaJaya ,0,Positif,0.9069763422012329
0,1092720543638274048,anca_sagala,2019-02-05 09:44:14,Kuis hadiah Kaos kerjsm amp Jakarta Syarat Follow amp RT Mjwb p tanyaan dsertai tagar Batang Padi yg sdh kering disebut apa bhs daerah masing pemenang diumumkan,,2019GantiPresiden ,43,Negatif,0.06426514685153961
0,1092720462939865089,khibar_p,2019-02-05 09:43:54,,PrabowoIndonesiaMenang PrabowoSandiSolusiNKRI IndonesiaAdilMakmur PrabowoSandiIndonesiaJaya,2019GantiPresiden 2019TetapAntiPKI 2019TakutDiganti 2019PrabowoPresidenRI PrabowoIndonesiaMenang PrabowoSandiSolusiNKRI IndonesiaAdilMakmur PrabowoSandiIndonesiaJaya ,0,Positif,0.7787083983421326
0,1092720313522040832,MSApunya,2019-02-05 09:43:19,,Sudahkah anda mengikuti kuis hari ini jika blm klik tautan ini,2019GantiPresiden ,1,Netral,0.5063467025756836
0,1092720310250496000,khibar_p,2019-02-05 09:43:18,,PrabowoIndonesiaMenang PrabowoSandiSolusiNKRI IndonesiaAdilMakmur PrabowoSandiIndonesiaJaya,2019GantiPresiden 2019TetapAntiPKI 2019TakutDiganti 2019PrabowoPresidenRI PrabowoIndonesiaMenang PrabowoSandiSolusiNKRI IndonesiaAdilMakmur PrabowoSandiIndonesiaJaya ,0,Positif,0.7787083983421326
0,1092719791167569920,tsabitpurnomo,2019-02-05 09:41:14,Sebaiknya tim bisa mencontoh azhar dalam menghadapi cecu unguk cebong Menjelang proklamasi Akal Sehat April alam takambang jadi guru,,,1,Negatif,0.09296213090419769
0,1092719483704172544,jp_hidayat,2019-02-05 09:40:01,Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan sombong jangan angkuh Hey junjunganmu itu bukan Tuhan,,,808,Positif,0.8679341673851013
0,1092719433842188288,serizagenji,2019-02-05 09:39:49,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092719137225207808,CSCHANNEL3,2019-02-05 09:38:38,,TV yang ngomong sapa yang ngoreng sapa maling kok teriak maling,2019GantiPresiden 2019PrabowoPresidenRI ,0,Positif,0.9734329581260681
0,1092718994786725888,RaidRifki,2019-02-05 09:38:04,,Jumpung,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092718895213899776,soemartono8,2019-02-05 09:37:41,,Asgard Inshaa Allah menang KyaiMaimoenDoakanPrabowo mantab pool,2019GantiPresiden 2019PrabowoPresidenRI KyaiMaimoenDoakanPrabowo ,0,Positif,0.9953097701072693
0,1092718838221860864,Kerja4As,2019-02-05 09:37:27,,Soal Doa Mbah Moen Sandi Lidah Manusia Dikuasai Allah,2019GantiPresiden ,0,Positif,0.9953097701072693
0,1092718771809198083,antonsuranton,2019-02-05 09:37:11,,Soal Doa Mbah Moen Sandi Lidah Manusia Dikuasai Allah IndonesiaAdilMakmur,IndonesiaAdilMakmur ,0,Positif,0.9953097701072693
0,1092718716440084480,Prawitadisastra,2019-02-05 09:36:58,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092718532377411584,selaluindo,2019-02-05 09:36:14,,Soal Doa Mbah Moen Sandi Lidah Manusia Dikuasai Allah,,0,Positif,0.9953097701072693
0,1092718474843967488,dafluca,2019-02-05 09:36:00,,Aamiin Ini menjadi cita rakyat Indonesia untuk GakMauKetipuLagi,GakMauKetipuLagi 17AprilGantiPresiden 2019GantiPresiden 2019PrabowoPresidenRI ,0,Positif,0.9480890035629272
0,1092718198355460096,soemartono8,2019-02-05 09:34:54,,congkak nya si id beliau tdk ingat bahwa gaji mentripun dibayar oleh RAKYAT SE INDONESIA KyaiMaimoenDoakanPrabowo utk menjadi Presiden RI colek Bram,2019GantiPresiden 2019PrabowoPresidenRI KyaiMaimoenDoakanPrabowo ,0,Positif,0.9142873287200928
0,1092718162359988225,Putry_Agustinaa,2019-02-05 09:34:46,,Kgk ush di ladeni yg begini mah Mau nyari sensasi dianya supaya apa mas Dapat like bnyk Truss apa lagi Ingat mba eh mas maksudnya Ingat Ada AZAB Yoo Ingat Ada AZAB Semoga Kau Mendapatkan AZABnya Aamiin Aamiin,2019GantiPresiden 2019PrabowoPresidenRI ,0,Negatif,0.2780466377735138
0,1092718008991068160,IalSarmadani,2019-02-05 09:34:09,,Hahahaha Ngelucu bung,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092717328020557824,morabudi,2019-02-05 09:31:27,,aku sudah tau IQ digit IPK lt ijazah palsu planga plongo boneka kacung penipu tukang hutang musuh ulama anti islam perusak NKRI RakyatSudahMuak HaramPilihPemimpinIngkarJanji,RakyatSudahMuak 2019PrabowoPresidenRI 17AprilPrabowoPresiden 2019GantiPresiden HaramPilihPemimpinIngkarJanji ,0,Netral,0.423664927482605
0,1092717158566522880,WizArt_adv,2019-02-05 09:30:46,,Terima Jasa Desain dan cetak untuk pemilu pemiludamai cetakapk alatperagakampanye tetapjokowi,capres2019 caleg2019 Pemilu2019 pemiludamai cetakapk alatperagakampanye JokowiMaruf2019 prabowosandi2019 tetapjokowi 2019GantiPresiden ,0,Positif,0.9926878213882446
0,1092717149490040832,AsifaNisreen,2019-02-05 09:30:44,Ketika sahabat yang sempat digadang gadang jadi Cawapres membuat pernyataan netral pada itu bermakna sebuah tolakan halus untuk bergabung dg kelompok yang mengindikasikan adanya hal prinsip yg tak pantas di dukung pada pasangan,,Pilpres2019 ,8,Positif,0.7605409026145935
0,1092717129600663552,Jokowi1xLagi,2019-02-05 09:30:40,Ketika sahabat yang sempat digadang gadang jadi Cawapres membuat pernyataan netral pada itu bermakna sebuah tolakan halus untuk bergabung dg kelompok yang mengindikasikan adanya hal prinsip yg tak pantas di dukung pada pasangan,,Pilpres2019 ,8,Positif,0.7605409026145935
0,1092717046276620288,bukit47,2019-02-05 09:30:20,Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan sombong jangan angkuh Hey junjunganmu itu bukan Tuhan,,,808,Positif,0.8679341673851013
0,1092717034809352192,indonesiamegah,2019-02-05 09:30:17,Ketika sahabat yang sempat digadang gadang jadi Cawapres membuat pernyataan netral pada itu bermakna sebuah tolakan halus untuk bergabung dg kelompok yang mengindikasikan adanya hal prinsip yg tak pantas di dukung pada pasangan,,Pilpres2019 ,8,Positif,0.7605409026145935
0,1092716712011546624,pujikrisdianto,2019-02-05 09:29:00,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092716606491258880,surgarakyat,2019-02-05 09:28:35,,Sandiaga Berjanji Bantu Pemasaran Ekspor Kerajinan Khas Kalteng,,0,Positif,0.7787083983421326
0,1092716602225680384,CintaLenstari,2019-02-05 09:28:34,,Sandiaga Berjanji Bantu Pemasaran Ekspor Kerajinan Khas Kalteng,,0,Positif,0.7787083983421326
0,1092716600602447872,aron_ashasb,2019-02-05 09:28:33,,Sandiaga Berjanji Bantu Pemasaran Ekspor Kerajinan Khas Kalteng,,0,Positif,0.7787083983421326
0,1092716497502257153,Sans20580686,2019-02-05 09:28:09,Mantul cik koh,,2019PRABOWOPRESIDEN 2019GANTIPRESIDEN 2019PrabowoSandi 2019PrabowoPresiden ,134,Positif,0.7787083983421326
0,1092716378694418432,BektiMahardika,2019-02-05 09:27:41,TUH KHAN y RAKYAT y JG YG MNTA MAAF Prmntaan Maaf slhsatu Rkyat Indonesia kpd Rusia trkait HoaxPropagandaRusia yg dsmpaikan Mr Jae CKUP SKLI PUNYA PRESIDENT MODEL BGNI ygmo krm rudal monggo lngsng ke alamt y Mr Jae z RAKYAT MALES RIBUT RAKYAT MO,,HoaxPropagandaRusia ,22,Positif,0.9489744901657104
0,1092716352408698881,arizoye,2019-02-05 09:27:34,,syadiah tja Haean id Optimis nambah utang triliun per hari wew,2019PrabowoSandi 2019PrabowoSandiMenang 2019GantiPresiden ,0,Negatif,0.1109396293759346
0,1092716277867503616,Putnop1,2019-02-05 09:27:16,,Jangan gara gara pilpres kalian bertengkar dengan keluarga Ingat Keluarga no Presiden no,2019PrabowoPresidenRI 2019GantiPresiden ,0,Positif,0.8639193773269653
0,1092715989827969024,EBRoestono,2019-02-05 09:26:08,HANYA ORANG DUNGU YANG BANGGA DENGAN TOL YANG MAHAL MINTA AMPUN BENTUK PENJAJAHAN INI MAH,,,42,Netral,0.48012271523475647
0,1092715887126241281,soemartono8,2019-02-05 09:25:43,,lho gpp sob itu kan emang gelar teko arek suroboyo gak papa paling KyaiMaimoenDoakanPrabowo utk menjadi Presiden RI,2019GantiPresiden 2019PrabowoPresidenRI KyaiMaimoenDoakanPrabowo ,0,Negatif,0.16258975863456726
0,1092715777801695237,cicis2910,2019-02-05 09:25:17,Ketika sahabat yang sempat digadang gadang jadi Cawapres membuat pernyataan netral pada itu bermakna sebuah tolakan halus untuk bergabung dg kelompok yang mengindikasikan adanya hal prinsip yg tak pantas di dukung pada pasangan,,Pilpres2019 ,8,Positif,0.7605409026145935
0,1092715498540691456,GUMEETER,2019-02-05 09:24:11,,Sama pak masa bohong terus ganti presiden ajalah,2019GantiPresiden ,0,Negatif,0.01745595782995224
0,1092715425698205696,ArifPra15535653,2019-02-05 09:23:53,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,,2019GantiPresiden ,35,Negatif,0.029301824048161507
0,1092715366411833344,aurelldunant,2019-02-05 09:23:39,,Keyword Puting Beliung Mati Lampu Kaca Pecah Histeris Khofifah Indar,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092715274703331328,adifaindra,2019-02-05 09:23:17,,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,0,Negatif,0.029301824048161507
0,1092715245724942341,PrimaVardhana,2019-02-05 09:23:10,,Ini ASN yang cantik dan cerdas serta tak takut pada tekanan para pelayan masyarakat lain yang bergelar menteri UkhuwahIslamiyah,UkhuwahIslamiyah 2019GantiPresiden 2019PrabowoSandi 2019PrabowoPresiden ,0,Netral,0.5315842032432556
0,1092715217060978693,Rubkaryo323,2019-02-05 09:23:04,,Bisa jadi people power itu lae Masa sih tega hancurkan bangsa ini hanya demi kekuasaan Naudzubillah min Dzaliq Insuaa Allah,2019GantiPresiden ,0,Netral,0.5291258096694946
0,1092715113545576449,EdonKhusnudzon,2019-02-05 09:22:39,,Ini bukti JanganPilihRezimZalim KamiBersamaADP SaveAktivisBelaIslam,2019GantiPresiden JanganPilihRezimZalim KamiBersamaADP SaveAktivisBelaIslam ,0,Positif,0.7055456638336182
0,1092714973690617856,jamarytarigan,2019-02-05 09:22:06,Kode Keras dari Habib Bahar Smith Salam Akal Sehat,,2019GantiPresiden 2019PrabowoPresidenRI ,148,Negatif,0.23900867998600006
0,1092714822339358721,PrimaVardhana,2019-02-05 09:21:29,,Salah maneh Kook salah terus pakde Aduh katanya sarjana kehutanan Kook gak ngerti kalau beras dan singkong mengandung glukosa UkhuwahIslamiyah,UkhuwahIslamiyah 2019GantiPresiden 2019PrabowoSandi ,0,Positif,0.9708833694458008
0,1092714483556839424,supiaman_asep,2019-02-05 09:20:09,Setlh insya Allah RI kembali menjadi macan Asia bahkan Dunia RI akan disegani bangsa lain bila,,2019GantiPresiden ,0,Positif,0.993970513343811
0,1092714382365085696,supiaman_asep,2019-02-05 09:19:45,mensyukuri yg ada yg kaya begitu disyukuri Sontoloyo,,Sontoloyo 2019GantiPresiden ,1,Negatif,0.012337320484220982
0,1092714366078578688,doelparni,2019-02-05 09:19:41,Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan sombong jangan angkuh Hey junjunganmu itu bukan Tuhan,,,808,Positif,0.8679341673851013
0,1092714335225360386,supiaman_asep,2019-02-05 09:19:33,Akibat Kedunguan berbahasa Asing,,2019GantiPresiden ,1,Positif,0.7787083983421326
0,1092714272033927168,Asugiyantoo,2019-02-05 09:19:18,Kita Kampanye Damai aja ya Gaess Jgn spt yg Onoh Brutal Kita Kampanye Gembira aja Menang kok Ya gak,,,28,Positif,0.8675447702407837
0,1092714192027570176,Amanrozak97,2019-02-05 09:18:59,,Insyaa allah Insyaa allah Insyaa allah Indonesia akan punya pemimpin baru di tahun Allaahu akbar Indonesia Merdeka,2019gantipresiden 2019prabowopresiden ,0,Positif,0.9960082769393921
0,1092714015686504449,PrihadiBeny,2019-02-05 09:18:17,Ketika sahabat yang sempat digadang gadang jadi Cawapres membuat pernyataan netral pada itu bermakna sebuah tolakan halus untuk bergabung dg kelompok yang mengindikasikan adanya hal prinsip yg tak pantas di dukung pada pasangan,,Pilpres2019 ,8,Positif,0.7605409026145935
0,1092713634554273792,Saha70619450,2019-02-05 09:16:46,Photo Resmi Capres Cawapres di Surat Suara Pilpres Agar tetap Ingat dan gak lupa sampe April Latihan Nyoblos siapa yg paling banyak yokk LIKE RT JKWTakutPaparkanMisiVisi,,,2706,Positif,0.8971631526947021
0,1092713620830543874,suaraRakyt,2019-02-05 09:16:43,,Dengerin lagu yuk,2019GantiPresiden ,0,Positif,0.965268075466156
0,1092713559216115712,ulinyusron,2019-02-05 09:16:28,Ketika sahabat yang sempat digadang gadang jadi Cawapres membuat pernyataan netral pada itu bermakna sebuah tolakan halus untuk bergabung dg kelompok yang mengindikasikan adanya hal prinsip yg tak pantas di dukung pada pasangan,,Pilpres2019 ,8,Positif,0.7605409026145935
0,1092713271688228864,PrimaVardhana,2019-02-05 09:15:20,,PDIP makin dekat Pilpres makin membuka belang sendiri Allah mulai terlibat mengungkap aib mereka UkhuwahIslamiyah,UkhuwahIslamiyah 2019GantiPresiden 2019PrabowoSandi 2019PrabowoPresiden 2019SaatnyaMuslimCerdas ,0,Positif,0.9909355044364929
0,1092712892980375552,Dinar_Saraswati,2019-02-05 09:13:49,,KalbarMenangkanPrabowoSandi PrabowoSandiUntukIndonesia rapatkanshafbelaulama SaveAktivisBelaIslam JanganPilihRezimZalim StopKriminalisasiOposisi,KalbarMenangkanPrabowoSandi 2019PrabowoPresidenRI 2019GantiPresiden 2019JihadKawalTPS 17AprilGantiPresiden 17AprilCoblosPrabowoSandi PrabowoSandiUntukIndonesia rapatkanshafbelaulama SaveAktivisBelaIslam JanganPilihRezimZalim StopKriminalisasiOposisi ,0,Positif,0.7787083983421326
0,1092712764584321024,NCI4RI,2019-02-05 09:13:19,,Ketika sahabat yang sempat digadang gadang jadi Cawapres membuat pernyataan netral pada itu bermakna sebuah tolakan halus untuk bergabung dg kelompok yang mengindikasikan adanya hal prinsip yg tak pantas di dukung pada pasangan,Pilpres2019 2019GantiPresiden 2019PrabowoSandi ,8,Positif,0.9138662815093994
0,1092712577342177281,Dinar_Saraswati,2019-02-05 09:12:34,,KalbarMenangkanPrabowoSandi PrabowoSandiUntukIndonesia RapatkanShafBelaUlama SaveAktivisBelaIslam JanganPilihRezimZalim StopKriminalisasiOposisi,KalbarMenangkanPrabowoSandi 2019PrabowoPresidenRI 2019GantiPresiden 2019JihadKawalTPS PrabowoSandiUntukIndonesia RapatkanShafBelaUlama SaveAktivisBelaIslam JanganPilihRezimZalim StopKriminalisasiOposisi ,0,Positif,0.7787083983421326
0,1092712414297055232,Niawahdania667,2019-02-05 09:11:55,Kode Keras dari Habib Bahar Smith Salam Akal Sehat,,2019GantiPresiden 2019PrabowoPresidenRI ,148,Negatif,0.23900867998600006
0,1092712404457185285,muhammadsyakur2,2019-02-05 09:11:53,,Semoga Indonesia memiliki pemimpin baru ini Aamiin,2019GantiPresiden 2019PrabowoPresidenRI ,0,Positif,0.7367565035820007
0,1092712348811354113,MJokoS6,2019-02-05 09:11:40,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092712308571160576,onesoultweet,2019-02-05 09:11:30,Bikin jalan Tol pakai duit Utang Negara yang bayar Rakyat Tapi Rakyat Yang nggak dukung Pakde nggak boleh lewat Jalan Tol Gile Lu Ndro ItuNamanyaJancuk PrabowoIndonesiaMenang,,,2,Netral,0.6271512508392334
0,1092712200693735426,AlQossam3,2019-02-05 09:11:04,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,,2019GantiPresiden ,4,Negatif,0.029301824048161507
0,1092712189847166981,feerzylant,2019-02-05 09:11:02,Yth Pemerintah dan Rakyat Rusia cq Ibu Dubes Rusia di Jakarta Kami mohon maaf atas ucapan yg tdk sepatutnya dr salah seorang tokoh politik dr negara kami Yakinlah bhw itu bukan mewakili suara rakyat Indonesia Sbg bukti permohonan maaf maka kami bertekad,,,52,Positif,0.9782789349555969
0,1092712120238493696,imam_bkh,2019-02-05 09:10:45,Pesan Perjuangan Calon Presiden RI H Prabowo Subianto kepada Emak Emak dan Relawan IndonesiaMenang,,2019PrabowoPresidenRI ,20,Negatif,0.0028211623430252075
0,1092711932602155008,morabudi,2019-02-05 09:10:00,,maklumi aja IQ digit IPK lt ijazah palsu planga plongo boneka kacung penipu tukang hutang musuh ulama anti islam perusak NKRI RakyatSudahMuak HaramPilihPemimpinIngkarJanji,RakyatSudahMuak 2019PrabowoPresidenRI 17AprilPrabowoPresiden 2019GantiPresiden HaramPilihPemimpinIngkarJanji ,0,Negatif,0.28192728757858276
0,1092711876784476160,PrimaVardhana,2019-02-05 09:09:47,,Indonesia dengan penduduk muslim terbanyak di dunia mana kok melempem Kok beda dengan saat janji dalam kampanye Pilpres dahulu UkhuwahIslamiyah,UkhuwahIslamiyah 2019GantiPresiden ,0,Positif,0.9553460478782654
0,1092711862473355264,MohamadCendikia,2019-02-05 09:09:44,,,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092711538954326016,PrimaVardhana,2019-02-05 09:08:27,,Presiden kok kebijakannya sering direvisi menteri Ini sebuah fakta kalau dia gak mampu jadi kepala negara sehingga selalu salah berkebijakan UkhuwahIslamiyah,UkhuwahIslamiyah 2019GantiPresiden 2019PrabowoSandi ,0,Negatif,0.11290249228477478
0,1092711506368548864,Revolusi411,2019-02-05 09:08:19,,Walau paslon belum pernah teruji jadi pemimpin negara tapi paslon sudah terbukti gagal memimpin negara,2019GantiPresiden ,0,Positif,0.7953959703445435
0,1092711288852090880,Kerja4As,2019-02-05 09:07:27,,Sandiaga Uno soroti kasus penyelundupan rotan di Kalimantan Tengah,2019GantiPresiden ,0,Positif,0.8291372060775757
0,1092711249308192768,antonsuranton,2019-02-05 09:07:18,,Sandiaga Uno soroti kasus penyelundupan rotan di Kalimantan Tengah IndonesiaAdilMakmur,IndonesiaAdilMakmur ,0,Positif,0.8291372060775757
0,1092710985331138561,Revolusi411,2019-02-05 09:06:15,,Yang masih dukung belum waras,2019GantiPresiden ,0,Positif,0.8410158157348633
0,1092710815533228032,wi_orangbiasa,2019-02-05 09:05:34,Kuis hadiah Kaos kerjsm amp Jakarta Syarat Follow amp RT Mjwb p tanyaan dsertai tagar Batang Padi yg sdh kering disebut apa bhs daerah masing pemenang diumumkan,,2019GantiPresiden ,43,Negatif,0.06426514685153961
0,1092710788970631168,wi_orangbiasa,2019-02-05 09:05:28,,Jarami sunda,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092710578399805445,Fajar_RAR,2019-02-05 09:04:38,Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan sombong jangan angkuh Hey junjunganmu itu bukan Tuhan,,,808,Positif,0.8679341673851013
0,1092710393049272320,mardi_kamil,2019-02-05 09:03:53,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092709931671740416,SintaLaurah,2019-02-05 09:02:03,,Sandiaga Berjanji Bantu Pemasaran Ekspor Kerajinan Khas Kalteng,,0,Positif,0.7787083983421326
